Time,Object,Error,Delta Error,Left Motor,Right Motor
4.96,375,1,1,8.632229748555659,9.07507218479307
4.992,376,0,-1,9.07507218479307,9.000000000000002
5.024,375,1,1,8.632229748555659,9.07507218479307
5.056,376,0,-1,9.07507218479307,9.000000000000002
5.088,376,0,0,9.000000000000004,9.000000000000004
5.12,375,1,1,8.632229748555659,9.07507218479307
5.152,376,0,-1,9.07507218479307,9.000000000000002
5.184,376,0,0,9.000000000000004,9.000000000000004
5.216,375,1,1,8.632229748555659,9.07507218479307
5.248,376,0,-1,9.07507218479307,9.000000000000002
5.28,375,1,1,8.632229748555659,9.07507218479307
5.312,376,0,-1,9.07507218479307,9.000000000000002
5.344,376,0,0,9.000000000000004,9.000000000000004
5.376,375,1,1,8.632229748555659,9.07507218479307
5.408,376,0,-1,9.07507218479307,9.000000000000002
5.44,376,0,0,9.000000000000004,9.000000000000004
5.472,375,1,1,8.632229748555659,9.07507218479307
5.5040000000000004,376,0,-1,9.07507218479307,9.000000000000002
5.5360000000000005,376,0,0,9.000000000000004,9.000000000000004
5.5680000000000005,375,1,1,8.632229748555659,9.07507218479307
5.6000000000000005,376,0,-1,9.07507218479307,9.000000000000002
5.632,376,0,0,9.000000000000004,9.000000000000004
5.664,375,1,1,8.632229748555659,9.07507218479307
5.696,376,0,-1,9.07507218479307,9.000000000000002
5.728,375,1,1,8.632229748555659,9.07507218479307
5.76,376,0,-1,9.07507218479307,9.000000000000002
5.792,376,0,0,9.000000000000004,9.000000000000004
5.824,375,1,1,8.632229748555659,9.07507218479307
5.856,376,0,-1,9.07507218479307,9.000000000000002
5.888,376,0,0,9.000000000000004,9.000000000000004
5.92,375,1,1,8.632229748555659,9.07507218479307
5.952,376,0,-1,9.07507218479307,9.000000000000002
5.984,376,0,0,9.000000000000004,9.000000000000004
6.016,375,1,1,8.632229748555659,9.07507218479307
6.048,376,0,-1,9.07507218479307,9.000000000000002
6.08,376,0,0,9.000000000000004,9.000000000000004
6.112,375,1,1,8.632229748555659,9.07507218479307
6.144,376,0,-1,9.07507218479307,9.000000000000002
6.176,376,0,0,9.000000000000004,9.000000000000004
6.208,375,1,1,8.632229748555659,9.07507218479307
6.24,376,0,-1,9.07507218479307,9.000000000000002
6.272,376,0,0,9.000000000000004,9.000000000000004
6.304,375,1,1,8.632229748555659,9.07507218479307
6.336,376,0,-1,9.07507218479307,9.000000000000002
